	45.7%	19.4%	Study	Unit	Compartment	Compartment_Unit	Day	Triplicate	Main_Analysis
Exp1_F2	-0.0700904945535089	-0.370661524174025	Exp1	Fecal	Fecal	Fecal	0	A2	YES
Exp1_0A1	-0.0966809103180539	-0.451331150926238	Exp1	Unit1	AC	AC1	1	NO	YES
Exp1_0A2	-0.0937635884932579	-0.46536441730505	Exp1	Unit2	AC	AC2	1	NO	YES
Exp1_0D1	-0.0684402250057226	-0.49980707895595	Exp1	Unit1	DC	DC1	1	NO	YES
Exp1_0D2	-0.0667822881136307	-0.490948104722823	Exp1	Unit2	DC	DC2	1	NO	YES
Exp1_0T1	-0.0657618398836483	-0.520551074697335	Exp1	Unit1	TC	TC1	1	NO	YES
Exp1_0T2	-0.0683041161120324	-0.517508054692672	Exp1	Unit2	TC	TC2	1	NO	YES
Exp1_12A1_2	0.25113652258898	0.136842820920852	Exp1	Unit1	AC	AC1	12	A2	YES
Exp1_12A2_2	0.246953898995935	0.124297764737555	Exp1	Unit2	AC	AC2	12	A2	YES
Exp1_12D1_2	0.247429707544085	0.0501418078171779	Exp1	Unit1	DC	DC1	12	A2	YES
Exp1_12D2_2	0.245681320101645	0.0240495377390397	Exp1	Unit2	DC	DC2	12	A2	YES
Exp1_12T1_2	0.270037226220537	0.0961835534812323	Exp1	Unit1	TC	TC1	12	A2	YES
Exp1_12T2_2	0.266860672086094	0.0869340478033319	Exp1	Unit2	TC	TC2	12	A2	YES
Exp1_13A1	0.25252832043785	0.131044304861758	Exp1	Unit1	AC	AC1	13	NO	YES
Exp1_13A2	0.250138770809447	0.13381555232197	Exp1	Unit2	AC	AC2	13	NO	YES
Exp1_13D1	0.244671011541738	0.0737440571792745	Exp1	Unit1	DC	DC1	13	NO	YES
Exp1_13D2	0.248053160634445	0.0465520539480802	Exp1	Unit2	DC	DC2	13	NO	YES
Exp1_13T1	0.266874896621502	0.123786151724925	Exp1	Unit1	TC	TC1	13	NO	YES
Exp1_13T2	0.263691680919214	0.0934709947327042	Exp1	Unit2	TC	TC2	13	NO	YES
Exp1_15A1	0.252988518476617	0.138231928504785	Exp1	Unit1	AC	AC1	15	NO	YES
Exp1_15A2	0.25746962805752	0.146479016830433	Exp1	Unit2	AC	AC2	15	NO	YES
Exp1_15D1	0.222598352556601	0.0710222347180191	Exp1	Unit1	DC	DC1	15	NO	YES
Exp1_15D2	0.245228936231511	0.0477369692558132	Exp1	Unit2	DC	DC2	15	NO	YES
Exp1_15T1	0.257207752910404	0.108040357153296	Exp1	Unit1	TC	TC1	15	NO	YES
Exp1_15T2	0.260134579326153	0.103823591398604	Exp1	Unit2	TC	TC2	15	NO	YES
Exp1_16A1	0.254309855313431	0.123916373298347	Exp1	Unit1	AC	AC1	16	NO	YES
Exp1_16A2	0.257902760438343	0.127876044415309	Exp1	Unit2	AC	AC2	16	NO	YES
Exp1_16D1	0.223127448230026	0.0715851802759522	Exp1	Unit1	DC	DC1	16	NO	YES
Exp1_16D2	0.226238760276621	0.055573654713008	Exp1	Unit2	DC	DC2	16	NO	YES
Exp1_16T1	0.255328077424206	0.109797003136941	Exp1	Unit1	TC	TC1	16	NO	YES
Exp1_16T2	0.255599693567953	0.10288823290295	Exp1	Unit2	TC	TC2	16	NO	YES
Exp1_17A1_2	0.257179614881772	0.134821333385779	Exp1	Unit1	AC	AC1	17	A2	YES
Exp1_17A2_2	0.256740960921108	0.136496402477228	Exp1	Unit2	AC	AC2	17	A2	YES
Exp1_17D1_2	0.226477643158448	0.0695302538366186	Exp1	Unit1	DC	DC1	17	A2	YES
Exp1_17D2_2	0.228895954482364	0.0455692958553007	Exp1	Unit2	DC	DC2	17	A2	YES
Exp1_17T1_2	0.258779631836853	0.0884254306052613	Exp1	Unit1	TC	TC1	17	A2	YES
Exp1_17T2_2	0.260190766481807	0.117030734393241	Exp1	Unit2	TC	TC2	17	A2	YES
Exp1_20A1	0.259253979042828	0.141995922307518	Exp1	Unit1	AC	AC1	20	NO	YES
Exp1_20A2	0.251781356191785	0.136394961613942	Exp1	Unit2	AC	AC2	20	NO	YES
Exp1_20D1	0.203953644869809	0.0762873706846554	Exp1	Unit1	DC	DC1	20	NO	YES
Exp1_20D2	0.215604333760766	0.0351714305367641	Exp1	Unit2	DC	DC2	20	NO	YES
Exp1_20T1	0.242430570893824	0.110483838595264	Exp1	Unit1	TC	TC1	20	NO	YES
Exp1_20T2	0.248469365012257	0.103765510020579	Exp1	Unit2	TC	TC2	20	NO	YES
Exp1_21A1	0.253655458251281	0.117444917912763	Exp1	Unit1	AC	AC1	21	NO	YES
Exp1_21A2	0.260442553490113	0.130130371905773	Exp1	Unit2	AC	AC2	21	NO	YES
Exp1_21D1	0.212377643052884	0.0742765044741718	Exp1	Unit1	DC	DC1	21	NO	YES
Exp1_21D2	0.208153709260254	0.057506328340167	Exp1	Unit2	DC	DC2	21	NO	YES
Exp1_21T1	0.239892537843385	0.119869632006962	Exp1	Unit1	TC	TC1	21	NO	YES
Exp1_21T2	0.249196619098419	0.101561062036746	Exp1	Unit2	TC	TC2	21	NO	YES
